legacy_id,name,firm,practice,date,award
1328881,,Jones Day,['White Collar'],2020,Practice Groups Of The Year
1328859,,Cravath Swaine,['Benefits'],2020,Practice Groups Of The Year
1328858,,Covington & Burling,['Banking'],2020,Practice Groups Of The Year
1328856,,Pachulski Stang,['Bankruptcy'],2020,Practice Groups Of The Year
1328854,,O'Melveny & Myers,['Appellate'],2020,Practice Groups Of The Year
1328558,,Dechert,['White Collar'],2020,Practice Groups Of The Year
1328557,,Covington & Burling,['White Collar'],2020,Practice Groups Of The Year
1328545,,Simpson Thacher,['Mergers & Acquisitions'],2020,Practice Groups Of The Year
1328533,,Latham & Watkins,['Mergers & Acquisitions'],2020,Practice Groups Of The Year
1328531,,Cleary Gottlieb,['Mergers & Acquisitions'],2020,Practice Groups Of The Year
1328519,,Skadden,['Trials'],2020,Practice Groups Of The Year
1328518,,Skadden,['Tax'],2020,Practice Groups Of The Year
1328480,,Sullivan & Cromwell,['Compliance'],2020,Practice Groups Of The Year
1328478,,Sidley Austin,['Compliance'],2020,Practice Groups Of The Year
1328476,,Paul Hastings,['Compliance'],2020,Practice Groups Of The Year
1328475,,Greenberg Traurig,['Construction'],2020,Practice Groups Of The Year
1328474,,Covington & Burling,['Compliance'],2020,Practice Groups Of The Year
1328473,,WilmerHale,['Competition'],2020,Practice Groups Of The Year
1328470,,Skadden,['Competition'],2020,Practice Groups Of The Year
1328469,,Simpson Thacher,['Capital Markets'],2020,Practice Groups Of The Year
1328468,,Morgan Lewis,['Competition'],2020,Practice Groups Of The Year
1328467,,Dechert,['Competition'],2020,Practice Groups Of The Year
1328466,,Latham & Watkins,['Capital Markets'],2020,Practice Groups Of The Year
1328465,,Cravath Swaine,['Competition'],2020,Practice Groups Of The Year
1328461,,Kirkland & Ellis,['Class Action'],2020,Practice Groups Of The Year
1328459,,Kirkland & Ellis,['Capital Markets'],2020,Practice Groups Of The Year
1328449,,Berger Montague,['Competition'],2020,Practice Groups Of The Year
1328436,,Quinn Emanuel,['Trials'],2020,Practice Groups Of The Year
1328429,,Eversheds Sutherland,['Tax'],2020,Practice Groups Of The Year
1328426,,Cleary Gottlieb,['Capital Markets'],2020,Practice Groups Of The Year
1328421,,Hagens Berman,['Class Action'],2020,Practice Groups Of The Year
1328420,,Kirkland & Ellis,['Trials'],2020,Practice Groups Of The Year
1328415,,Davis Polk,['Tax'],2020,Practice Groups Of The Year
1328411,,Cravath Swaine,['Tax'],2020,Practice Groups Of The Year
1328406,,Irell & Manella,['Trials'],2020,Practice Groups Of The Year
1328401,,Gibson Dunn,['Trials'],2020,Practice Groups Of The Year
1328395,,Edelson PC,['Class Action'],2020,Practice Groups Of The Year
1328394,,DiCello Levitt,['Class Action'],2020,Practice Groups Of The Year
1328347,,Cohen Milstein,['Class Action'],2020,Practice Groups Of The Year
1328343,,Covington & Burling,['Class Action'],2020,Practice Groups Of The Year
1328301,,Kramer Levin,['Bankruptcy'],2020,Practice Groups Of The Year
1328300,,Kirkland & Ellis,['Appellate'],2020,Practice Groups Of The Year
1328296,,Cravath Swaine,['Bankruptcy'],2020,Practice Groups Of The Year
1328295,,Jones Day,['Appellate'],2020,Practice Groups Of The Year
1328290,,Brown Rudnick,['Bankruptcy'],2020,Practice Groups Of The Year
1328283,,Gibson Dunn,['Appellate'],2020,Practice Groups Of The Year
1327964,,Irell & Manella,['Intellectual Property'],2020,Practice Groups Of The Year
1327859,,Debevoise & Plimpton,['Fund Formation'],2020,Practice Groups Of The Year
1327856,,Debevoise & Plimpton,['Intellectual Property'],2020,Practice Groups Of The Year
1327850,,Fish & Richardson,['Intellectual Property'],2020,Practice Groups Of The Year
1327472,,Dechert,['Structured Finance'],2020,Practice Groups Of The Year
1327471,,DLA Piper,['Real Estate'],2020,Practice Groups Of The Year
1327450,,King & Spalding,['Structured Finance'],2020,Practice Groups Of The Year
1327447,,Kirkland & Ellis,['Real Estate'],2020,Practice Groups Of The Year
1327444,,Kasowitz Benson,['Structured Finance'],2020,Practice Groups Of The Year
1327439,,White & Case,['Project Finance'],2020,Practice Groups Of The Year
1327438,,Fried Frank,['Real Estate'],2020,Practice Groups Of The Year
1327419,,Bass Berry,['Health'],2020,Practice Groups Of The Year
1327416,,Weil Gotshal,['Fund Formation'],2020,Practice Groups Of The Year
1327414,,White & Case,['Fintech'],2020,Practice Groups Of The Year
1327411,,Skadden,['Fintech'],2020,Practice Groups Of The Year
1327410,,Sidley Austin,['Fintech'],2020,Practice Groups Of The Year
1327407,,Paul Weiss,['Fund Formation'],2020,Practice Groups Of The Year
1327405,,O'Melveny & Myers,['Fintech'],2020,Practice Groups Of The Year
1327397,,Fried Frank,['Fund Formation'],2020,Practice Groups Of The Year
1327016,,Schiff Hardin,['Construction'],2020,Practice Groups Of The Year
1327015,,King & Spalding,['Construction'],2020,Practice Groups Of The Year
1327014,,Jones Day,['Construction'],2020,Practice Groups Of The Year
1327012,,Robbins Geller,['Cybersecurity & Privacy'],2020,Practice Groups Of The Year
1327011,,Cohen Milstein,['Environmental'],2020,Practice Groups Of The Year
1327010,,Latham & Watkins,['Cybersecurity & Privacy'],2020,Practice Groups Of The Year
1327009,,Edelson PC,['Cybersecurity & Privacy'],2020,Practice Groups Of The Year
1327008,,Bracewell,['Environmental'],2020,Practice Groups Of The Year
1327007,,Beveridge & Diamond,['Environmental'],2020,Practice Groups Of The Year
1327006,,DiCello Levitt,['Cybersecurity & Privacy'],2020,Practice Groups Of The Year
1327005,,Baron & Budd,['Environmental'],2020,Practice Groups Of The Year
1327003,,Seyfarth Shaw,['Employment'],2020,Practice Groups Of The Year
1327002,,Cooley,['Cybersecurity & Privacy'],2020,Practice Groups Of The Year
1327000,,Simpson Thacher,['Energy'],2020,Practice Groups Of The Year
1326999,,Outten & Golden,['Employment'],2020,Practice Groups Of The Year
1326998,,Latham & Watkins,['Energy'],2020,Practice Groups Of The Year
1326997,,Orrick Herrington,['Employment'],2020,Practice Groups Of The Year
1326995,,Kirkland & Ellis,['Energy'],2020,Practice Groups Of The Year
1326994,,Keker Van Nest,['Employment'],2020,Practice Groups Of The Year
1326806,,Gibson Dunn,['Energy'],2020,Practice Groups Of The Year
1326802,,Jones Day,['Employment'],2020,Practice Groups Of The Year
1326798,,Gibson Dunn,['Employment'],2020,Practice Groups Of The Year
1326782,,Baker Botts,['Energy'],2020,Practice Groups Of The Year
1326042,,Davis Polk,['Fintech'],2020,Practice Groups Of The Year
1326039,,Arnold & Porter,['Government Contracts'],2020,Practice Groups Of The Year
1326037,,Hunton Andrews,['Environmental'],2020,Practice Groups Of The Year
1325940,,Simpson Thacher,['Fund Formation'],2020,Practice Groups Of The Year
1325935,,Covington & Burling,['Government Contracts'],2020,Practice Groups Of The Year
1325357,,O'Melveny & Myers,['Insurance'],2020,Practice Groups Of The Year
1325260,,Morgan Lewis,['Insurance'],2020,Practice Groups Of The Year
1325239,,Mintz Levin,['Immigration'],2020,Practice Groups Of The Year
1324840,,Dechert,['Real Estate'],2020,Practice Groups Of The Year
1324839,,Winston & Strawn,['Sports & Betting'],2020,Practice Groups Of The Year
1324838,,Wilkinson Stekloff,['Sports & Betting'],2020,Practice Groups Of The Year
1324837,,Sullivan & Cromwell,['Sports & Betting'],2020,Practice Groups Of The Year
1324836,,Latham & Watkins,['Sports & Betting'],2020,Practice Groups Of The Year
1324835,,Sullivan & Cromwell,['Securities'],2020,Practice Groups Of The Year
1324834,,Robbins Geller,['Securities'],2020,Practice Groups Of The Year
1324833,,Paul Weiss,['Securities'],2020,Practice Groups Of The Year
1324832,,Latham & Watkins,['Securities'],2020,Practice Groups Of The Year
1324831,,Cohen Milstein,['Securities'],2020,Practice Groups Of The Year
1324830,,Baker McKenzie,['Tax'],2020,Practice Groups Of The Year
1324415,,Bernstein Litowitz,['Securities'],2020,Practice Groups Of The Year
1315955,Tsuyoshi Imai,Ropes & Gray,['Private Equity'],2020,MVP
1315950,Matthew W. Abbott,Paul Weiss,['Private Equity'],2020,MVP
1315946,Emil Arca,Hogan Lovells,['Structured Finance'],2020,MVP
1315941,Mark Cheffo & Sheila Birnbaum,Dechert,['Product Liability'],2020,MVP
1315936,Brian Greene,Kirkland & Ellis,['Project Finance'],2020,MVP
1315929,John Yanchunis,Morgan & Morgan,['Cybersecurity & Privacy'],2020,MVP
1315926,Martin Goldberg,Lash & Goldberg,['Health'],2020,MVP
1315921,Jim Boswell,King & Spalding,['Health'],2020,MVP
1315918,Alexis S. Gilroy,Jones Day,['Health'],2020,MVP
1315911,Mark Johnson,Hooper Lundy,['Health'],2020,MVP
1315017,Jeffrey Kessler,Winston & Strawn,['Sports & Betting'],2020,MVP
1315013,Joel Telpner,Sullivan & Worcester,['Fintech'],2020,MVP
1315005,Daniel Petrocelli,O'Melveny & Myers,['Media & Entertainment'],2020,MVP
